Name,Location,Categories,Founded,IPO
twitter,"San Francisco Bay Area, West Coast, Western US","Blogging Platforms, Messaging, SMS, Social Media","Mar 21, 2006",Public
github,"San Francisco Bay Area, West Coast, Western US","Cloud Computing, Developer Tools, Internet, Project Management, Software","Feb 29, 2008",Private
impossible-foods,"San Francisco Bay Area, Silicon Valley, West Coast","Food and Beverage, Food Processing, Nutrition",2011,Private
freightwaves,Southern US,"Analytics, Artificial Intelligence, Financial Services, Freight Service, Logistics, Marketplace, Predictive Analytics, Railroad, SaaS, Transportation","Jun 1, 2016",Private
beyond-meat,"Greater Los Angeles Area, West Coast, Western US","Food and Beverage, Food Processing, Health Care",2009,Public
uber,"San Francisco Bay Area, West Coast, Western US","Mobile Apps, Public Transportation, Ride Sharing, Transportation",Mar 2009,Public
crowdstrike,"San Francisco Bay Area, Silicon Valley, West Coast","Cyber Security, Machine Learning, Network Security, SaaS, Security",2011,Public
neuralink,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence, Medical, Neuroscience",Jul 2016,Private
nianticlabs,"San Francisco Bay Area, West Coast, Western US","Augmented Reality, Internet, Software, Video Games, Virtual Reality",2010,Private
cloudflare,"San Francisco Bay Area, West Coast, Western US","Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting",Jun 2009,Private
consensus-systems,"Greater New York Area, East Coast, Northeastern US","Cryptocurrency, FinTech, Mobile, Software","Oct 1, 2014",Private
onetrust,"Greater Atlanta Area, East Coast, Southern US","Compliance, Computer, Marketing, Privacy, Software",2016,Private
the-realreal,"San Francisco Bay Area, West Coast, Western US","E-Commerce, Fashion, Lifestyle","Mar 1, 2011",Public
patreon,"San Francisco Bay Area, West Coast, Western US","Media and Entertainment, Music, Podcast, Sponsorship, Video","May 7, 2013",Private
remitly,"Greater Seattle Area, West Coast, Western US","Finance, FinTech, Mobile, Mobile Payments, Software","May 23, 2011",Private
collective-health,"Great Lakes, Midwestern US","Association, Fitness, Health Care, Non Profit",2011,Private
cameo,"Greater New York Area, East Coast, Northeastern US","Mobile Apps, Photography, Video","Oct 1, 2013",Private
whatsapp,"San Francisco Bay Area, Silicon Valley, West Coast","Android, Messaging, Mobile, Subscription Service",2009,Private
sonder,"San Francisco Bay Area, West Coast, Western US","Food and Beverage, Health Care, Medical",Active,Private
optimizely,"San Francisco Bay Area, West Coast, Western US","A/B Testing, Developer Tools, Internet, Personalization, SaaS, Software",Dec 2009,Private
rent-the-runway,"Greater New York Area, East Coast, Northeastern US","Consumer Goods, E-Commerce, Fashion, Retail","Nov 9, 2009",Private
super-league,"Greater Los Angeles Area, West Coast, Western US","eSports, Gaming, Video Games",2014,Public
groupon,"Greater Chicago Area, Great Lakes, Midwestern US","Advertising, E-Commerce, Internet, Marketplace, Retail, Social Media","Nov 11, 2008",Public
turo,"San Francisco Bay Area, West Coast, Western US","Car Sharing, Marketplace, Peer to Peer, Recreational Vehicles, Transportation",2009,Private
amperity,"Greater Seattle Area, West Coast, Western US","Advertising, Analytics, Artificial Intelligence, Big Data, Consumer, Data Center Automation, Machine Learning, Marketing, Software",2016,Private
looker,"San Francisco Bay Area, West Coast, Western US","Analytics, Business Intelligence, Data Visualization, Enterprise Software",2011,Private
hulu,"Greater Los Angeles Area, West Coast, Western US","Content, Film, TV, Video, Video Streaming","Mar 1, 2007",Private
fungible-inc,"San Francisco Bay Area, Silicon Valley, West Coast","Computer, Data Center, Hardware",2015,Private
kabbage,"Greater Atlanta Area, East Coast, Southern US","Credit, Finance, Financial Services, FinTech, Internet, iOS, Lending","Feb 12, 2009",Private
quibi,"Greater Los Angeles Area, West Coast, Western US","Media and Entertainment, TV, TV Production",2018,Private
